INDEP,DEP
6.75,3635.87
6.76,3648.65
6.77,3661.45
6.78,3674.27
6.79,3687.12
6.80,3700.00
6.81,3712.08
6.82,3724.18
6.83,3736.30
6.84,3748.44
6.85,3760.60
6.86,3772.79
6.87,3784.99
6.88,3797.22
6.89,3809.47
6.90,3821.74
6.91,3834.04
6.92,3846.35
6.93,3858.69
6.94,3871.05
6.95,3883.43
6.96,3895.83
6.97,3908.25
6.98,3920.70
6.99,3933.16
7.00,3945.65
7.01,3958.16
7.02,3970.69
7.03,3983.25
7.04,3995.82
7.05,4008.42
7.06,4021.04
7.07,4033.68
7.08,4046.34
7.09,4059.03
7.10,4071.74
7.11,4084.46
7.12,4097.21
7.13,4109.99
7.14,4122.78
7.15,4135.59
7.16,4148.43
7.17,4161.29
7.18,4174.17
7.19,4187.08
7.20,4200.00
7.21,4213.29
7.22,4226.60
7.23,4239.94
7.24,4253.30
7.25,4266.68
7.26,4280.09
7.27,4293.52
7.28,4306.97
7.29,4320.45
7.30,4333.95
7.31,4347.47
7.32,4361.02
7.33,4374.59
7.34,4388.19
7.35,4401.81
7.36,4415.45
7.37,4429.12
7.38,4442.81
7.39,4456.52
7.40,4470.26
7.41,4484.02
7.42,4497.80
7.43,4511.61
7.44,4525.45
7.45,4539.30
7.46,4553.18
7.47,4567.09
7.48,4581.01
7.49,4594.96
7.50,4608.94
7.51,4622.94
7.52,4636.96
7.53,4651.01
7.54,4665.08
7.55,4679.17
7.56,4693.29
7.57,4707.43
7.58,4721.60
7.59,4735.79
7.60,4750.00
7.61,4764.28
7.62,4778.58
7.63,4792.91
7.64,4807.26
7.65,4821.63
7.66,4836.03
7.67,4850.45
7.68,4864.90
7.69,4879.37
7.70,4893.87
7.71,4908.39
7.72,4922.93
7.73,4937.50
7.74,4952.09
7.75,4966.71
7.76,4981.35
7.77,4996.01
7.78,5010.70
7.79,5025.41
7.80,5040.15
7.81,5054.91
7.82,5069.70
7.83,5084.51
7.84,5099.34
7.85,5114.20
7.86,5129.08
7.87,5143.99
7.88,5158.92
7.89,5173.88
7.90,5188.86
7.91,5203.86
7.92,5218.89
7.93,5233.94
7.94,5249.02
7.95,5264.12
7.96,5279.25
7.97,5294.40
7.98,5309.58
7.99,5324.78
8.00,5340.00
8.01,5354.62
8.02,5369.26
8.03,5383.92
8.04,5398.60
8.05,5413.31
8.06,5428.03
8.07,5442.78
8.08,5457.55
8.09,5472.34
8.10,5487.15
8.11,5501.99
8.12,5516.85
8.13,5531.72
8.14,5546.62
8.15,5561.55
8.16,5576.49
8.17,5591.46
8.18,5606.44
8.19,5621.45
8.20,5636.48
8.21,5651.54
8.22,5666.61
8.23,5681.71
8.24,5696.83
8.25,5711.97
8.26,5727.13
8.27,5742.31
8.28,5757.52
8.29,5772.74
8.30,5787.99
8.31,5803.26
8.32,5818.56
8.33,5833.87
8.34,5849.21
8.35,5864.57
8.36,5879.95
8.37,5895.35
8.38,5910.77
8.39,5926.22
8.40,5941.69
8.41,5957.18
8.42,5972.69
8.43,5988.22
8.44,6003.78
8.45,6019.35
8.46,6034.95
8.47,6050.57
8.48,6066.22
8.49,6081.88
8.50,6097.57
8.51,6113.28
8.52,6129.01
8.53,6144.76
8.54,6160.54
8.55,6176.33
8.56,6192.15
8.57,6207.99
8.58,6223.86
8.59,6239.74
8.60,6255.65
8.61,6271.58
8.62,6287.53
8.63,6303.50
8.64,6319.49
8.65,6335.51
8.66,6351.55
8.67,6367.61
8.68,6383.69
8.69,6399.80
8.70,6415.92
8.71,6432.07
8.72,6448.24
8.73,6464.44
8.74,6480.65
8.75,6496.89
8.76,6513.15
8.77,6529.43
8.78,6545.73
8.79,6562.06
8.80,6578.41
8.81,6594.78
8.82,6611.17
8.83,6627.58
8.84,6644.02
8.85,6660.47
8.86,6676.95
8.87,6693.46
8.88,6709.98
8.89,6726.53
8.90,6743.10
8.91,6759.69
8.92,6776.30
8.93,6792.93
8.94,6809.59
8.95,6826.27
8.96,6842.97
8.97,6859.70
8.98,6876.44
8.99,6893.21
9.00,6910.00
9.01,6925.95
9.02,6941.93
9.03,6957.92
9.04,6973.93
9.05,6989.96
9.06,7006.01
9.07,7022.07
9.08,7038.16
9.09,7054.27
9.10,7070.39
9.11,7086.54
9.12,7102.70
9.13,7118.88
9.14,7135.08
9.15,7151.30
9.16,7167.54
9.17,7183.80
9.18,7200.08
9.19,7216.38
9.20,7232.69
9.21,7249.03
9.22,7265.38
9.23,7281.75
9.24,7298.15
9.25,7314.56
9.26,7330.99
9.27,7347.44
9.28,7363.91
9.29,7380.39
9.30,7396.90
9.31,7413.43
9.32,7429.97
9.33,7446.54
9.34,7463.12
9.35,7479.72
9.36,7496.35
9.37,7512.99
9.38,7529.65
9.39,7546.33
9.40,7563.02
9.41,7579.74
9.42,7596.48
9.43,7613.23
9.44,7630.01
9.45,7646.80
9.46,7663.62
9.47,7680.45
9.48,7697.30
