INDEP,DEP
12.56,6640.06
12.57,6655.33
12.58,6670.62
12.59,6685.94
12.60,6701.28
12.61,6716.64
12.62,6732.02
12.63,6747.43
12.64,6762.86
12.65,6778.32
12.66,6793.79
12.67,6809.29
12.68,6824.82
12.69,6840.36
12.70,6855.93
12.71,6871.53
12.72,6887.14
12.73,6902.78
12.74,6918.44
12.75,6934.13
12.76,6949.84
12.77,6965.57
12.78,6981.32
12.79,6997.10
12.80,7012.90
12.81,7028.73
12.82,7044.58
12.83,7060.45
12.84,7076.34
12.85,7092.26
12.86,7108.21
12.87,7124.17
12.88,7140.16
12.89,7156.17
12.90,7172.21
12.91,7188.27
12.92,7204.35
12.93,7220.45
12.94,7236.58
12.95,7252.74
12.96,7268.91
12.97,7285.11
12.98,7301.34
12.99,7317.58
13.00,7333.85
13.01,7350.15
13.02,7366.47
13.03,7382.81
13.04,7399.17
13.05,7415.56
13.06,7431.98
13.07,7448.41
13.08,7464.87
13.09,7481.36
13.10,7497.87
13.11,7514.40
13.12,7530.95
13.13,7547.53
13.14,7564.13
13.15,7580.76
13.16,7597.41
13.17,7614.09
13.18,7630.79
13.19,7647.51
13.20,7664.25
13.21,7681.02
13.22,7697.82
13.23,7714.64
13.24,7731.48
13.25,7748.35
13.26,7765.24
13.27,7782.15
13.28,7799.09
13.29,7816.05
13.30,7833.04
13.31,7850.05
13.32,7867.08
13.33,7884.14
13.34,7901.23
13.35,7918.33
13.36,7935.47
13.37,7952.62
13.38,7969.80
13.39,7987.00
13.40,8004.23
13.41,8021.49
13.42,8038.76
13.43,8056.06
13.44,8073.39
13.45,8099.78
13.46,8126.25
13.47,8152.77
13.48,8179.37
13.49,8206.03
13.50,8232.76
13.51,8259.55
13.52,8286.42
13.53,8313.35
13.54,8340.34
13.55,8367.41
13.56,8394.54
13.57,8421.74
13.58,8449.01
13.59,8476.35
13.60,8503.76
13.61,8531.23
13.62,8558.77
13.63,8586.38
13.64,8614.06
13.65,8641.81
13.66,8669.63
13.67,8697.52
13.68,8725.47
13.69,8753.50
13.70,8781.59
13.71,8809.75
